landing,roiID,basin,ISO3,continent,initialDamage,subsequentDamage,initialResistance,reactRate,recoverRate,fullRecovery,lon,lat,preEVI,patchSize,coastDistM,speed,trackDist,localWind,bathymetry_mean,alphaDiversity_mean,canopyHeight_mean,stormFreq_mean,totalPrec_value,diversity
Alessia2013_2013324S11113_2013112306,139,SI,AUS,Oceania,0.260708112,0,0.739291888,NA,0.095551493,Y,126.7965549,-13.88150627,0.254331642,968624.775,239.7390349,21.6684,15970.5545,53.95156573,0.001171638,21,0,0.125,41.76109951,21
Alessia2013_2013324S11113_2013112306,142,SI,AUS,Oceania,0.216695961,-0.008509978,0.783304039,-0.004254989,0.192663057,Y,126.8324875,-13.8186242,0.23609673,968886.9094,2505.33481,21.6684,21703.84725,74.55736609,-0.001033069,21,6.929133858,0.125,41.63975202,21
Alessia2013_2013324S11113_2013112306,151,SI,AUS,Oceania,-0.040882887,-0.222740783,1.040882887,-0.111370392,0.028395435,Y,127.3445272,-13.95786299,0.237237805,1936609.795,180.1611796,21.6684,75316.90476,39.73795426,-0.003524403,21,0,0.075000003,104.7640328,21
Alessia2013_2013324S11113_2013112306,154,SI,AUS,Oceania,0.011739153,-0.156581612,0.988260847,-0.078290806,0.263480299,Y,127.6858871,-14.24981554,0.197582306,967065.997,2140.33603,21.6684,69981.71139,40.17106877,0.001639382,21,7.484251969,0,59.32811351,21
Alessia2013_2013324S11113_2013112306,155,SI,AUS,Oceania,0.021050123,-0.061885868,0.978949877,-0.030942934,0.10945069,Y,127.739786,-14.30371446,0.196949884,966834.5298,1689.084639,21.6684,72845.6464,39.86074206,0.002954247,21,6.165354331,0,53.01780865,21
Alessia2013_2013324S11113_2013112306,163,SI,AUS,Oceania,0.115589248,0,0.884410752,NA,0.107810867,Y,127.9463985,-14.60015885,0.217249428,2896638.553,2685.088197,21.6684,100372.1188,37.18204512,0.00177153,21,6.240837696,0,123.2645,21
Alessia2013_2013324S11113_2013112306,170,SI,AUS,Oceania,0.013465151,-0.0972526,0.986534849,-0.0486263,0.220236349,Y,129.5146002,-14.12790052,0.254310885,6773104.565,703.6030266,21.6684,70402.50544,40.69749222,-0.000155851,21,1.150869321,0,722.8148887,21
Alessia2013_2013324S11113_2013112306,186,SI,AUS,Oceania,0.126870609,-0.097814916,0.873129391,-0.048907458,0.086741376,Y,129.7789617,-14.01625357,0.317240542,968059.13,4583.103551,21.6684,55154.10282,42.23273782,0.001175437,21,6.342519685,0,100.9574584,21
Alessia2013_2013324S11113_2013112306,188,SI,AUS,Oceania,-0.16733324,-0.472032787,1.16733324,-0.094406557,0.159735727,Y,129.796928,-13.77370844,0.215578245,969073.4338,157.9434511,21.6684,34032.76259,44.30377767,5.38834450747808e-05,21,0,0,96.77868336,21
Alessia2013_2013324S11113_2013112306,198,SI,AUS,Oceania,0.053567563,-0.131239148,0.946432437,-0.065619574,0.379407111,Y,130.1472709,-13.0258611,0.382909134,3888432.847,510.9416227,21.6684,64695.08823,62.92735761,0.000442095,21,5.156188605,0,391.6500581,21
Alessia2013_2013324S11113_2013112306,199,SI,AUS,Oceania,0.038796733,-0.212864394,0.961203267,-0.106432197,0.269997684,Y,130.1697288,-13.18082047,0.29937328,1942959.408,84.65508799,21.6684,48282.34114,64.61530996,0.000653034,21,1.47151277,0,220.1711805,21
Alessia2013_2013324S11113_2013112306,201,SI,AUS,Oceania,0.189416481,-0.047019491,0.810583519,-0.023509746,0.288489125,Y,130.208355,-13.21315906,0.299933427,9713510.894,962.0333958,21.6684,46135.81917,64.83660107,0.000789623,21,2.080188679,0,1130.317234,21
Alex2010_2010176N16278_2010062600,0,NAt,HND,North America,0.146881517,-0.029246696,0.853118483,-0.009748899,0.172556384,Y,-85.12500375,15.91561172,0.529105585,959517.8251,1058.954482,18.52,90566.39087,74.44970414,0.003530284,2,20.70472441,0,159.7963485,2
Alex2010_2010176N16278_2010062600,6,NAt,HND,North America,0.193691531,0,0.806308469,NA,0.040244121,Y,-84.60248298,15.79433904,0.419248518,5760549.012,1048.894607,18.52,105712.915,55.46625654,0.000208891,2,11.4429882,0,971.739976,2
Alex2010_2010176N16278_2010062700,3,NAt,BLZ,North America,-0.046842616,-0.26181601,1.046842616,-0.052363202,0.04536788,Y,-88.35893878,17.26308465,0.200658118,952818.3999,6840.893487,12.69942857,31315.41991,77.40229606,0.000673585,12,2.511811024,0.075000003,169.6071415,12
Alex2010_2010176N16278_2010062700,4,NAt,BLZ,North America,0.023295199,-0.268940205,0.976704801,-0.02689402,0.056832664,Y,-88.35893878,17.24511835,0.10708316,952911.2004,6754.733984,12.69942857,33017.82252,77.19397186,0.00069723,12,0,0.075000003,160.1069946,12
Alex2010_2010176N16278_2010062700,5,NAt,BLZ,North America,-0.042399334,-0.404179159,1.042399334,-0.033681597,0.036743641,Y,-88.35893878,17.16426997,0.500312396,953327.6431,6588.997295,12.69942857,41012.45217,88.9319455,0.000601881,12,15.92913386,0.075000003,158.5777294,12
Alex2010_2010176N16278_2010062700,6,NAt,BLZ,North America,-0.051712302,-0.159612037,1.051712302,-0.159612037,0.146508943,Y,-88.33985201,16.6522293,0.321288576,7647388.242,170.5541488,12.69942857,95539.55184,82.49445383,0.000160868,12,5.122118686,0.025,1421.179122,12
Alex2010_2010176N16278_2010062700,7,NAt,BLZ,North America,0.088526684,-0.186585474,0.911473316,-0.01554879,0.190973844,Y,-88.35220108,17.34842409,0.264763817,3809505.214,7724.340053,12.69942857,23367.3543,78.98153976,0.000384814,12,8.2043222,0.075000003,734.736933,12
Alex2010_2010176N16278_2010062700,8,NAt,BLZ,North America,-0.009257348,-0.334368567,1.009257348,-0.083592142,0.015624891,Y,-88.36220437,17.21490165,0.386868697,10483758.54,6553.421818,12.69942857,36114.48584,76.87193696,0.000692735,12,12.91967155,0.075000003,1726.217254,12
Alex2010_2010176N16278_2010062700,10,NAt,BLZ,North America,0.002743244,-0.166653979,0.997256756,-0.020831747,0.165246127,Y,-88.33198932,17.28105096,0.111241526,952725.5057,4086.454964,12.69942857,28118.60395,77.31873529,0.000599014,12,8.220472441,0.075000003,158.9821972,12
Alex2010_2010176N16278_2010062700,13,NAt,BLZ,North America,0.127126589,0,0.872873411,NA,0.102539284,Y,-88.31402301,17.0609636,0.322001557,1907713.998,4871.236646,12.69942857,50353.69777,87.25829877,0.000515528,12,14.35952849,0.075000003,355.3841293,12
Alex2010_2010176N16278_2010062700,17,NAt,BLZ,North America,0.079167153,-0.174344305,0.920832847,-0.034868861,0.091699622,Y,-88.30503986,17.32596672,0.407203461,952492.8604,2200.558613,12.69942857,22356.33883,79.73058597,0.000384814,12,11.57086614,0.075000003,159.591239,12
Alex2010_2010176N16278_2010062700,18,NAt,BLZ,North America,0.105366573,0,0.894633427,NA,0.124425493,Y,-88.3059388,17.24601458,0.323053362,9529065.053,1195.255288,12.69942857,30431.37561,89.34431507,0.00069723,12,9.19890153,0.075000003,1508.157166,12
Alex2010_2010176N16278_2010062700,19,NAt,BLZ,North America,0.131066538,-0.151314726,0.868933462,-0.01260956,0.087111903,Y,-88.30503986,17.1957109,0.276380352,1906331.831,794.1237051,12.69942857,35664.6975,88.76263518,0.000696369,12,8.546168959,0.075000003,307.997687,12
Alex2010_2010176N16278_2010062700,25,NAt,BLZ,North America,0.240852423,0,0.759147577,NA,0.173657784,Y,-88.28707355,17.32596643,0.28134108,2857478.558,511.5469581,12.69942857,21467.7825,93.06609675,0.0004146,12,6.452879581,0.075000003,445.812209,12
Alex2010_2010176N16278_2010062700,26,NAt,BLZ,North America,0.088417037,0,0.911582963,NA,0.109666585,Y,-88.29156491,17.10138773,0.381558939,3814600.899,617.3500183,12.69942857,45427.94861,87.52911605,0.000503173,12,9.949901768,0.075000003,691.2664592,12
Alex2010_2010176N16278_2010062700,27,NAt,BLZ,North America,0.061974953,-0.063480561,0.938025047,-0.01587014,0.026397,Y,-88.28707355,17.06545529,0.313194292,953834.0507,2265.064073,12.69942857,49250.75356,87.06277692,0.000566026,12,9.791338583,0.075000003,175.4860681,12
Alex2010_2010176N16278_2010062700,30,NAt,BLZ,North America,-0.002182332,-0.111197543,1.002182332,-0.022239509,0.028578904,Y,-88.2780904,16.92172484,0.558757278,954565.5786,1330.943023,12.69942857,64906.64407,85.27630618,0.000523167,12,12,0.025,171.1186819,12
Alex2010_2010176N16278_2010062700,34,NAt,BLZ,North America,0.237534453,0,0.762465547,NA,0.024474451,Y,-88.26910725,17.03850583,0.410266472,953971.6695,2755.863553,12.69942857,51895.87279,86.57903949,0.00068267,12,11.99212598,0.075000003,172.3016115,12
Alex2010_2010176N16278_2010062700,36,NAt,BLZ,North America,0.168827348,0,0.831172652,NA,0.242579555,Y,-88.2601241,16.930708,0.514179325,954520.0341,1329.853567,12.69942857,63694.94758,85.23319944,0.000600619,12,13.06299213,0.025,171.1186819,12
Alex2010_2010176N16278_2010062700,38,NAt,BLZ,North America,0.283841228,0,0.716158772,NA,0.0259367,Y,-88.24664917,17.03401289,0.341396094,9539924.521,973.3527417,12.69942857,52109.93492,86.31945521,0.000683418,12,5.91162608,0.075000003,1567.094783,12
Alex2010_2010176N16278_2010062700,41,NAt,BLZ,North America,0.11801505,-0.055923809,0.88198495,-0.004660317,0.030714651,Y,-88.23542043,16.99358989,0.382129729,3816802.237,1243.466315,12.69942857,56498.94749,85.75069141,0.000686243,12,6.240431796,0.031237722,605.3340022,12
Alex2010_2010176N16278_2010062700,42,NAt,BLZ,North America,0.120484165,-0.065560041,0.879515835,-0.01639001,0.04276416,Y,-88.2331748,16.94418281,0.416404207,3817806.699,1792.972176,12.69942857,61973.7535,85.16117932,0.000674884,12,9.091265947,0.025,587.6442534,12
Alex2010_2010176N16278_2010062700,44,NAt,BLZ,North America,0.319143152,0,0.680856848,NA,0.295418564,Y,-88.20622518,17.9008885,0.242020621,949463.3526,1047.032897,12.69942857,44631.58685,92.69582274,0.001995625,12,7.307086614,0.075000003,92.86227771,12
Alex2010_2010176N16278_2010062700,50,NAt,BLZ,North America,0.207007802,0,0.792992198,NA,0.072594943,Y,-88.15232626,18.04461895,0.238998787,948691.0264,2731.732785,12.69942857,60836.97376,91.98016158,0.001481745,12,7.992125984,0.050000001,85.78096749,12
