sampleID,landing,roiID,year,lon,lat,basin,ISO3,continent,totalDamageDuration,initialDamage,totalDamage,initialResistance,subsequentDamage,reactionTime,reactionRate,recoveryTime,recoveryRate,fullRecovery,windSpeed,trackDist,sideTrack,travelSpeed,rainfall,stormFreq,coastalSlope,coastDist,preEVI,patchSize,canopyHeight,nSpecies
4901,Tiffany2022_2022008S12148_2022011118,0,2021,129.6531975,-15.06728245,SP,AUS,Oceania,1,0.19599151,0.19599151,0.80400849,0,0,NA,1,0.179733683,Y,92.6,98205.30971,0,22.84133333,204.4276625,0,0.002112354,317.9044412,0.136205845,963463.5913,0,21
101,Anika2022_2022055S13129_2022022606,63,2021,123.3649905,-17.20976429,SI,AUS,Oceania,1,0,0.225260707,1,0.251994388,1,-0.251994388,1,0.172877431,Y,92.6,62019.23065,1,10.91705263,274.4044019,0,0.001202493,731.1287867,0.307460521,1906187.072,0,21
109,Anika2022_2022055S13129_2022022606,114,2021,123.6629323,-17.04956447,SI,AUS,Oceania,1,0,0.173742711,1,0.261346484,1,-0.261346484,1,0.166339506,Y,92.6,39486.58702,1,10.91705263,950.1226532,0,0.000333048,2462.321023,0.168404251,5723512.221,5.119686069,21
121,Anika2022_2022055S13129_2022022606,433,2021,126.7606223,-13.8006579,SI,AUS,Oceania,3,0,0.306745707,1,0.382656967,6,-0.063776161,1,0.165803194,Y,92.6,37093.76,0,10.91705263,184.4831591,0.125,0.000959423,535.5706678,0.205241411,968961.5907,0,21
95,Anika2022_2022055S13129_2022022606,17,2021,122.215147,-17.23222229,SI,AUS,Oceania,1,0.00388088,0.184043434,0.99611912,0.180162553,1,-0.180162553,1,0.154566804,Y,92.6,26763.87595,1,10.91705263,192.4422977,0,0.000819364,88.76942147,0.201625874,952977.7541,0,21
114,Anika2022_2022055S13129_2022022606,215,2021,124.4384775,-16.18568492,SI,AUS,Oceania,1,0,0.145413631,1,0.196857973,1,-0.196857973,1,0.145914507,Y,92.6,43280.58173,0,10.91705263,557.9684303,0.075000003,0.000365491,538.0069053,0.257684553,1916434.936,3.968565815,21
4891,Tiffany2022_2022008S12148_2022010918,92,2021,144.259804,-14.16896717,SP,AUS,Oceania,1,0.365109439,0.365109439,0.634890561,0,0,NA,1,0.14404429,Y,101.86,7320.728192,0,14.816,140.6923072,0.025,0.000428522,1392.137184,0.265803128,967411.5932,0,21
94,Anika2022_2022055S13129_2022022606,1,2021,119.7331029,-20.02239025,SI,AUS,Oceania,1,0.065688243,0.169651945,0.934311757,0.103963701,1,-0.103963701,1,0.117251481,Y,92.6,88760.21688,0,10.91705263,428.8143181,0.25,0.000208297,148.114758,0.227653645,9374618.548,3.262166405,21
112,Anika2022_2022055S13129_2022022606,137,2021,123.7332998,-17.14239076,SI,AUS,Oceania,6,0,0.482649564,1,0.531880962,3,-0.177293654,6,0.101113815,Y,92.6,51252.08503,1,10.91705263,139.5499208,0,0.000574324,7675.453218,0.069477255,953440.0146,5.263779528,21
120,Anika2022_2022055S13129_2022022606,425,2021,126.5001109,-14.13303455,SI,AUS,Oceania,4,0,0.206852417,1,0.326431475,6,-0.054405246,2,0.08169824,Y,92.6,21485.95839,0,10.91705263,193.0401412,0.050000001,0.002449471,1068.277962,0.186605061,967564.5733,0,21
116,Anika2022_2022055S13129_2022022606,411,2021,126.0868858,-14.35761338,SI,AUS,Oceania,4,0,0.308446579,1,0.508982888,5,-0.101796578,3,0.058690737,Y,92.6,35291.8091,0,10.91705263,271.5735666,0.050000001,-0.001275531,230.1443587,0.206179364,966602.2069,0.535433071,21
117,Anika2022_2022055S13129_2022022606,416,2021,126.3069729,-14.23634076,SI,AUS,Oceania,3,0,0.309060649,1,0.52502523,4,-0.131256308,3,0.057423016,Y,92.6,25813.93156,0,10.91705263,484.919333,0.050000001,-0.000234438,447.4449691,0.237207105,1934247.454,3.082677165,21
115,Anika2022_2022055S13129_2022022606,406,2021,126.0240038,-14.42049545,SI,AUS,Oceania,4,0,0.372392396,1,0.51814183,5,-0.103628366,3,0.057150054,Y,92.6,40667.16612,0,10.91705263,261.0308484,0.050000001,-0.001370944,237.9154634,0.240445278,966330.0824,0,21
118,Anika2022_2022055S13129_2022022606,418,2021,126.3384141,-14.20489978,SI,AUS,Oceania,4,0,0.35228757,1,0.494534966,4,-0.123633742,4,0.053862296,Y,92.6,28081.35766,0,10.91705263,237.5191649,0.050000001,-0.000450906,211.276023,0.236777013,967258.2327,0.157480315,21
123,Anika2022_2022055S13129_2022022606,438,2021,126.8324875,-13.8186242,SI,AUS,Oceania,7,0,0.441679248,1,0.48988907,5,-0.097977814,6,0.052261413,Y,92.6,29125.67022,0,10.91705263,168.0427491,0.125,-0.001033069,2505.33481,0.257998381,968886.9094,6.929133858,21
125,Anika2022_2022055S13129_2022022606,440,2021,126.8729115,-13.94887987,SI,AUS,Oceania,8,0,0.287013261,1,0.350869414,6,-0.058478236,6,0.048022854,Y,92.6,26894.79381,0,10.91705263,356.7063049,0.125,-0.000325728,1527.095653,0.245382829,1936685.238,6.507874016,21
119,Anika2022_2022055S13129_2022022606,423,2021,126.4821446,-14.11506825,SI,AUS,Oceania,3,0,0.209901981,1,0.34267746,5,-0.068535492,1,0.033593604,Y,92.6,24198.34221,0,10.91705263,189.8041331,0.050000001,0.001928255,793.2771699,0.280553281,967640.9206,0,21
122,Anika2022_2022055S13129_2022022606,435,2021,126.7965549,-13.88150627,SI,AUS,Oceania,20,0,0.410467909,1,0.427663533,5,-0.085532707,19,0.025147546,Y,92.6,32982.02393,0,10.91705263,169.4287475,0.125,0.001171638,239.7390349,0.270924817,968624.775,0,21
1086,Eloise2021_2021012S12086_2021012212,54,2021,35.23127801,-19.60377464,SI,MOZ,Africa,1,0.421253443,0.421253443,0.578746557,0,0,NA,1,0.454192017,Y,148.16,60314.23485,0,19.13733333,385.8421202,0.025,0.001289579,975.9579942,0.269504843,939930.4149,12.1496063,2
1088,Eloise2021_2021012S12086_2021012212,57,2021,35.28517693,-19.55436717,SI,MOZ,Africa,1,0.050318372,0.269728437,0.949681628,0.219410066,1,-0.219410066,1,0.392283765,Y,148.16,67684.08836,0,19.13733333,721.4990982,0.025,0.001309786,1026.001996,0.253774999,1880437.473,7.42043222,2
2542,Jobo2021_2021108S11067_2021042412,4,2021,39.27369679,-7.62024874,SI,TZA,Africa,1,0.224902436,0.224902436,0.775097564,0,0,NA,1,0.210585046,Y,46.3,74053.19458,0,14.816,192.1737217,0,0.000854983,1304.19069,0.343182604,988954.0157,7.535433071,3
2543,Jobo2021_2021108S11067_2021042412,5,2021,39.27369664,-7.78733522,SI,TZA,Africa,1,0,0.174974512,1,0.226240273,5,-0.045248055,1,0.188916001,Y,46.3,65236.33691,0,14.816,965.3815774,0,-0.000228553,6527.810038,0.340108567,4942819.767,10.4913522,3
2544,Jobo2021_2021108S11067_2021042412,30,2021,39.40664732,-7.411839577,SI,TZA,Africa,8,0,0.242223863,1,0.245418216,11,-0.022310747,1,0.144695752,Y,46.3,80103.88779,0,14.816,837.3759693,0,0.001446342,364.940167,0.398091264,4947143.697,6.338570306,3
1980,Iman2021_2021062S18040_2021030506,6,2021,43.98985203,-17.38493588,SI,MDG,Africa,1,0,0.229404901,1,0.321591476,4,-0.080397869,1,0.14171443,Y,64.82,78916.69696,1,29.632,0,0.075000003,0.001115328,288.8242402,0.12781499,952186.5355,0,5
1087,Eloise2021_2021012S12086_2021012212,55,2021,35.24924432,-19.59479148,SI,MOZ,Africa,1,0.188265637,0.188265637,0.811734363,0,0,NA,1,0.140871708,Y,148.16,61999.7508,0,19.13733333,366.9115802,0.025,0.001498269,878.2079228,0.314425008,939982.8895,2.74015748,2
2545,Jobo2021_2021108S11067_2021042412,36,2021,39.62403975,-7.943642242,SI,TZA,Africa,3,0,0.168971189,1,0.236842974,5,-0.047368595,3,0.096715847,Y,46.3,23025.77293,0,14.816,0,0,0.000594546,62.0621682,0.322620994,988191.4697,1.019685039,3
