"landing","trackDist","coastDist","category","side","mangrovePxl","ID","stormName","stormYear","intensity","basin","preEVI","bathymetry_mean","center_centerLon","center_centerLat","totalPrec_total","elevation_mean","stormFrequency_mean","landingYear","landingMonth","landingDay","landingDOY","landingLat","landingLon","landingWindMax","landingSpeed","landingSpeed0","landingPressure","landingWindMaxRMW","landingCat","landingWindMaxLocal","landingWindMaxLocal2","ISO3Fixed","incomeFixed","continent","country","ISO3","income","region"
"Belna2019_2019336S06055_2019120918",25,5,"c3","sr",2,"2019336S06055","Belna",2019,0.228273573665175,"SI",0.227640177133655,-0.000596034508854245,45.3058839235244,-16.1407692543253,0,6.99606299212598,0,2019,12,9,343,-16.5,44.8,148.16,16.166326003405,16.668,972,10,"h2",115.92606921556,124.009232217263,0,0,"Africa","Madagascar","MDG","LIC","Eastern Africa"
"Belna2019_2019336S06055_2019120918",40,5,"c3","wl",2,"2019336S06055","Belna",2019,0.146888900577095,"SI",0.216723816156589,0.00204688353613111,44.4734772650087,-16.2784878442644,120.568508107054,5.3241469816273,0.16666667163372,2019,12,9,343,-16.5,44.8,148.16,16.166326003405,16.668,972,10,"h2",86.5012792286895,78.418116226987,0,0,"Africa","Madagascar","MDG","LIC","Eastern Africa"
"Belna2019_2019336S06055_2019120918",45,5,"c3","wl",2,"2019336S06055","Belna",2019,0.287389579126148,"SI",0.254705364664148,0.00058663834306957,44.4614675564561,-16.2305991428871,105.195977544785,5.01574803149606,0.16666667163372,2019,12,9,343,-16.5,44.8,148.16,16.166326003405,16.668,972,10,"h2",79.9043823956996,71.8212193939971,0,0,"Africa","Madagascar","MDG","LIC","Eastern Africa"
"Belna2019_2019336S06055_2019120918",5,5,"c3","wl",2,"2019336S06055","Belna",2019,0.319262239269867,"SI",0.275925432164511,0.00162326719217179,44.9600335611679,-16.1901777499238,122.185725593567,9.1434184675835,0.16666667163372,2019,12,9,343,-16.5,44.8,148.16,16.166326003405,16.668,972,10,"h2",15.1913116785864,7.10814867688388,0,0,"Africa","Madagascar","MDG","LIC","Eastern Africa"
"Belna2019_2019336S06055_2019120918",5,5,"c3","sr",2,"2019336S06055","Belna",2019,0.44916251962346,"SI",0.287842994286914,0.00136423938318443,44.9824904212672,-16.1856846097992,110.642332623052,7.8762278978389,0.16666667163372,2019,12,9,343,-16.5,44.8,148.16,16.166326003405,16.668,972,10,"h2",15.1913116785864,23.2744746802889,0,0,"Africa","Madagascar","MDG","LIC","Eastern Africa"
"Beryl2018_2018186N10325_2018071012",15,5,"c1","sr",2,"2018186N10325","Beryl",2018,0.205067073526228,"NAt",0.366724758900574,-0.00154594594594595,-71.7266333079275,19.6930279263765,20.7982873505237,9.50984251968504,0.095238097012043,2018,7,10,191,19.3,-71.6,48.8928,21.7916773719391,25.928,1013,30,"TC",1.39449595728283e-26,10.8958386859696,0,0,"North America","Dominican Republic","DOM","UMC","Caribbean"
"Beta2005_2005300N10279_2005103012",10,5,"c3","sr",1,"2005300N10279","Beta",2005,0.472211149654961,"NAt",0.300062433137629,0.000494053208137715,-83.53049412488,13.018544966362,145.688870239258,2.05511811023622,0.428571432828903,2005,10,30,303,12.9,-83.5,146.6784,11.4685928535674,11.112,970,10,"h2",141.379409481491,147.113705908275,1,1,"North America","Nicaragua","NIC","LMC","Central America"
"Beta2005_2005300N10279_2005103012",45,5,"c3","sr",1,"2005300N10279","Beta",2005,0.32013868117518,"NAt",0.387443560986215,0.000491973721793773,-83.5484604305607,13.4766854248187,287.098756853739,5.17485265225933,0.428571432828903,2005,10,30,303,12.9,-83.5,146.6784,11.4685928535674,11.112,970,10,"h2",90.005477343352,95.7397737701357,1,1,"North America","Nicaragua","NIC","LMC","Central America"
"Beta2005_2005300N10279_2005103012",5,5,"c3","wl",1,"2005300N10279","Beta",2005,0.356989149293354,"NAt",0.307628541374474,0.00103254875588433,-83.5304941248807,12.892780826312,134.439609198477,5.15354330708661,0.142857149243355,2005,10,30,303,12.9,-83.5,146.6784,11.4685928535674,11.112,970,10,"h2",33.6145757148226,27.8802792880389,1,1,"North America","Nicaragua","NIC","LMC","Central America"
"Beta2005_2005300N10279_2005103012",5,5,"c3","sr",1,"2005300N10279","Beta",2005,0.356989149293354,"NAt",0.307628541374474,0.000547447447447447,-83.5304941248807,12.892780826312,134.439609198477,5.15354330708661,0.142857149243355,2005,10,30,303,12.9,-83.5,146.6784,11.4685928535674,11.112,970,10,"h2",33.6145757148226,39.3488721416063,1,1,"North America","Nicaragua","NIC","LMC","Central America"
