"sampleID","obs_std","pred_en","pred_en_upr","pred_en_lwr","pred_en_rcl","pred_en_upr_rcl","pred_en_lwr_rcl","obs","Y","scale","pred_en_OOB","pred_en_OOB_lwr","pred_en_OOB_upr","pred_en_OOB_rcl","pred_en_OOB_upr_rcl","pred_en_OOB_lwr_rcl"
41,0.620405131275529,0.277406021803189,1.06940238364556,-0.514590340039181,0.278667730421672,0.397213331738308,0.195501252786568,0.324903233,"damage","log10",-1.14080618822633,-1.89851881250798,-0.383093563944683,0.147718367065751,0.207351911010188,0.10523518139893
42,0.924272496483327,0.928519175374099,1.72135267078663,0.135685679961568,0.372941673994394,0.531790729243242,0.261541776780624,0.372233543,"damage","log10",0.484490561487176,-0.308876614493803,1.27785773746815,0.305729162478418,0.436054167996584,0.214354838572456
43,-0.305237813568362,0.11001255140874,0.900561680248072,-0.680536577430591,0.258553896673505,0.368304419638873,0.181507779761646,0.214704205,"damage","log10",0.275402227258518,-0.505151586010982,1.05595604052802,0.278417936967154,0.394830146451466,0.196328847535391
44,0.700253920065102,0.818060766649391,1.60893010771103,0.0271914255877529,0.354953580086528,0.505696144118959,0.249145747859619,0.336723882,"damage","log10",-0.0638999955398481,-0.843167860078172,0.715367868998476,0.239192967977167,0.339009256727791,0.168766117131916
45,0.813920190674634,0.93315359841791,1.72431897545041,0.141988221385407,0.373715998420918,0.532497178099941,0.262280540103691,0.354296428,"damage","log10",0.204395073855479,-0.576728495374418,0.985518643085376,0.269709247493418,0.382577717976806,0.190139348857415
46,0.579083890678918,0.100398316967494,0.891103160212984,-0.690306526277997,0.257443782380287,0.366748643381598,0.180715872525554,0.318949988,"damage","log10",0.316175905524488,-0.430952471313179,1.06330428236215,0.283545152094254,0.396130747109022,0.202957871518179
47,-0.0252563512123349,-0.161153764690228,0.629694852142851,-0.952002381523307,0.229005327205059,0.326256849741332,0.160742801047319,0.243365727,"damage","log10",-0.235046338501805,-0.985245050429998,0.515152373426388,0.221555932733475,0.309953453205686,0.158369041614857
48,-0.291849622138631,-0.272959777882033,0.51786065866818,-1.06378021443225,0.217828299796128,0.310329368514233,0.152899380484821,0.215994533,"damage","log10",-0.713423079906415,-1.46659661485966,0.0397504550468278,0.178855882175593,0.250550069402365,0.127676781990577
49,-0.662288460537433,-0.470255096670238,0.320615127968676,-1.26112532130915,0.199419125306534,0.284109044863943,0.139974380460388,0.182996194,"damage","log10",-0.222347090794601,-0.991294675273533,0.546600493684331,0.222818725302153,0.314346712952729,0.157940841432442
50,0.348869386630602,0.118921761133291,0.911906202818454,-0.674062680551872,0.259586877558136,0.370179120672054,0.182034434784019,0.287724422,"damage","log10",-0.503892957166449,-1.26719438981547,0.259408475482574,0.19643946915803,0.276432161810695,0.139594701247226
51,-0.663918271219779,-0.295774736420963,0.494989112863834,-1.08653858570576,0.215615436678492,0.307169030970368,0.151349946923984,0.182862763,"damage","log10",0.272370780239539,-0.488039935965847,1.03278149644492,0.27804046167876,0.390756276294464,0.19783814879094
52,0.14420237518199,-0.371277481931415,0.420815974977327,-1.16337093884016,0.20845133768783,0.297139709375649,0.146234107434335,0.262540571,"damage","log10",-0.617141944427196,-1.41299995737917,0.178716068524779,0.186731249535762,0.266627360100171,0.130776374712959
53,0.854510628286553,0.5026123195712,1.29324182707126,-0.288017187928863,0.308218795958725,0.439066786062412,0.21636532117176,0.360791397,"damage","log10",0.16315400818392,-0.602994464646556,0.929302481014396,0.264776829709272,0.373072436790839,0.187917312128309
54,-0.543447082168706,-0.399324348797611,0.391764563144407,-1.19041326073963,0.205851165454564,0.293301368002752,0.144474956279797,0.192992653,"damage","log10",-0.0479155982252367,-0.819908433887262,0.724077237436789,0.240910223473214,0.340333234827061,0.170532083954145
